City,Country,Sessions,% New Sessions,New Users,Bounce Rate,Pages / Session,Avg. Session Duration,Goal Conversion Rate,Goal Completions,Goal Value
Loughborough,United Kingdom,1,100.00%,1,100.00%,1.00,00:00:00,0.00%,0,$0.00
Middlesbrough,United Kingdom,1,100.00%,1,0.00%,2.00,00:00:00,0.00%,0,$0.00
Newcastle upon Tyne,United Kingdom,1,100.00%,1,0.00%,4.00,00:00:54,0.00%,0,$0.00
Nottingham,United Kingdom,1,100.00%,1,100.00%,1.00,00:00:00,0.00%,0,$0.00
Plymouth,United Kingdom,1,100.00%,1,100.00%,1.00,00:00:00,0.00%,0,$0.00
Portsmouth,United Kingdom,1,100.00%,1,100.00%,1.00,00:00:00,0.00%,0,$0.00
Royal Tunbridge Wells,United Kingdom,1,100.00%,1,100.00%,1.00,00:00:00,0.00%,0,$0.00
Sedlescombe,United Kingdom,1,100.00%,1,0.00%,2.00,00:00:00,0.00%,0,$0.00
Southport,United Kingdom,1,100.00%,1,100.00%,1.00,00:00:00,0.00%,0,$0.00
Stamford,United Kingdom,1,100.00%,1,0.00%,2.00,00:00:00,0.00%,0,$0.00
Stoke-on-Trent,United Kingdom,1,100.00%,1,0.00%,3.00,00:00:27,0.00%,0,$0.00
Tamworth,United Kingdom,1,100.00%,1,100.00%,1.00,00:00:00,0.00%,0,$0.00
Taunton,United Kingdom,1,100.00%,1,0.00%,6.00,00:02:08,0.00%,0,$0.00
Wallingford,United Kingdom,1,100.00%,1,100.00%,1.00,00:00:00,0.00%,0,$0.00
Watford,United Kingdom,1,100.00%,1,100.00%,1.00,00:00:00,0.00%,0,$0.00
Wokingham,United Kingdom,1,100.00%,1,0.00%,0.00,00:00:00,0.00%,0,$0.00
York,United Kingdom,1,100.00%,1,100.00%,1.00,00:00:00,0.00%,0,$0.00
Belfast,United Kingdom,1,100.00%,1,0.00%,2.00,00:00:00,0.00%,0,$0.00
Lurgan,United Kingdom,1,100.00%,1,0.00%,2.00,00:00:00,0.00%,0,$0.00
Aberdeen,United Kingdom,1,100.00%,1,0.00%,2.00,00:00:00,0.00%,0,$0.00
Clydebank,United Kingdom,1,100.00%,1,0.00%,2.00,00:00:00,0.00%,0,$0.00
Greenock,United Kingdom,1,100.00%,1,0.00%,4.00,00:00:04,0.00%,0,$0.00
Hamilton,United Kingdom,1,100.00%,1,0.00%,2.00,00:00:00,0.00%,0,$0.00
Kirkcaldy,United Kingdom,1,100.00%,1,0.00%,4.00,00:01:41,0.00%,0,$0.00
Wrexham,United Kingdom,1,100.00%,1,0.00%,2.00,00:00:00,0.00%,0,$0.00
Tbilisi,Georgia,1,100.00%,1,0.00%,2.00,00:00:00,0.00%,0,$0.00
Accra,Ghana,1,100.00%,1,0.00%,0.00,00:00:00,0.00%,0,$0.00
Zagreb,Croatia,1,100.00%,1,100.00%,1.00,00:00:00,0.00%,0,$0.00
Split,Croatia,1,100.00%,1,100.00%,1.00,00:00:00,0.00%,0,$0.00
Godollo,Hungary,1,100.00%,1,0.00%,0.00,00:00:00,0.00%,0,$0.00
Tangerang,Indonesia,1,100.00%,1,100.00%,1.00,00:00:00,0.00%,0,$0.00
Malang,Indonesia,1,100.00%,1,100.00%,1.00,00:00:00,0.00%,0,$0.00
Pekanbaru,Indonesia,1,100.00%,1,0.00%,2.00,00:00:02,0.00%,0,$0.00
Patna,India,1,100.00%,1,100.00%,1.00,00:00:00,0.00%,0,$0.00
Kochi,India,1,100.00%,1,100.00%,1.00,00:00:00,0.00%,0,$0.00
Thiruvananthapuram,India,1,100.00%,1,0.00%,2.00,00:01:12,0.00%,0,$0.00
Nagpur,India,1,100.00%,1,100.00%,1.00,00:00:00,0.00%,0,$0.00
Bhubaneshwar,India,1,100.00%,1,100.00%,1.00,00:00:00,0.00%,0,$0.00
Amritsar,India,1,100.00%,1,100.00%,1.00,00:00:00,0.00%,0,$0.00
Coimbatore,India,1,100.00%,1,100.00%,1.00,00:00:00,0.00%,0,$0.00
Kanpur,India,1,100.00%,1,100.00%,1.00,00:00:00,0.00%,0,$0.00
Noida,India,1,100.00%,1,100.00%,1.00,00:00:00,0.00%,0,$0.00
Cork,Ireland,1,100.00%,1,0.00%,2.00,00:00:00,0.00%,0,$0.00
Clonmel,Ireland,1,100.00%,1,100.00%,1.00,00:00:00,0.00%,0,$0.00
Waterford,Ireland,1,100.00%,1,100.00%,1.00,00:00:00,0.00%,0,$0.00
Haifa,Israel,1,0.00%,0,100.00%,1.00,00:00:00,0.00%,0,$0.00
Rishon LeTsiyon,Israel,1,100.00%,1,0.00%,6.00,00:00:57,0.00%,0,$0.00
Or Yehuda,Israel,1,100.00%,1,0.00%,2.00,00:00:01,0.00%,0,$0.00
Ramat Gan,Israel,1,100.00%,1,100.00%,1.00,00:00:00,0.00%,0,$0.00
Bergamo,Italy,1,100.00%,1,100.00%,1.00,00:00:00,0.00%,0,$0.00
Brindisi,Italy,1,100.00%,1,0.00%,2.00,00:00:00,0.00%,0,$0.00
Cagliari,Italy,1,100.00%,1,0.00%,2.00,00:00:00,0.00%,0,$0.00
Cremona,Italy,1,100.00%,1,100.00%,1.00,00:00:00,0.00%,0,$0.00
Cosenza,Italy,1,100.00%,1,0.00%,2.00,00:00:00,0.00%,0,$0.00
Argenta,Italy,1,100.00%,1,100.00%,1.00,00:00:00,0.00%,0,$0.00
Florence,Italy,1,100.00%,1,100.00%,1.00,00:00:00,0.00%,0,$0.00
Sesto Fiorentino,Italy,1,100.00%,1,100.00%,1.00,00:00:00,0.00%,0,$0.00
Forli,Italy,1,100.00%,1,100.00%,1.00,00:00:00,0.00%,0,$0.00
Genoa,Italy,1,100.00%,1,100.00%,1.00,00:00:00,0.00%,0,$0.00
Lecce,Italy,1,100.00%,1,100.00%,1.00,00:00:00,0.00%,0,$0.00
Fondi,Italy,1,100.00%,1,100.00%,1.00,00:00:00,0.00%,0,$0.00
Taormina,Italy,1,100.00%,1,100.00%,1.00,00:00:00,0.00%,0,$0.00
Cassina de' Pecchi,Italy,1,100.00%,1,100.00%,1.00,00:00:00,0.00%,0,$0.00
Naples,Italy,1,100.00%,1,0.00%,2.00,00:06:40,0.00%,0,$0.00
Palermo,Italy,1,100.00%,1,100.00%,1.00,00:00:00,0.00%,0,$0.00
Trebaseleghe,Italy,1,100.00%,1,100.00%,1.00,00:00:00,0.00%,0,$0.00
Parma,Italy,1,100.00%,1,0.00%,12.00,00:00:01,0.00%,0,$0.00
Pistoia,Italy,1,100.00%,1,100.00%,1.00,00:00:00,0.00%,0,$0.00
San Giorgio Ionico,Italy,1,100.00%,1,0.00%,2.00,00:00:01,0.00%,0,$0.00
Udine,Italy,1,100.00%,1,0.00%,2.00,00:00:00,0.00%,0,$0.00
Busto Arsizio,Italy,1,100.00%,1,100.00%,1.00,00:00:00,0.00%,0,$0.00
Kingston,Jamaica,1,100.00%,1,0.00%,2.00,00:00:01,0.00%,0,$0.00
Asahikawa,Japan,1,100.00%,1,100.00%,1.00,00:00:00,0.00%,0,$0.00
Sendai,Japan,1,100.00%,1,0.00%,0.00,00:00:00,0.00%,0,$0.00
Utsunomiya,Japan,1,100.00%,1,100.00%,1.00,00:00:00,0.00%,0,$0.00
Kiryu,Japan,1,100.00%,1,100.00%,1.00,00:00:00,0.00%,0,$0.00
Maebashi,Japan,1,100.00%,1,100.00%,1.00,00:00:00,0.00%,0,$0.00
Funabashi,Japan,1,100.00%,1,100.00%,1.00,00:00:00,0.00%,0,$0.00
Chofu,Japan,1,100.00%,1,0.00%,2.00,00:00:40,0.00%,0,$0.00
Hachioji,Japan,1,100.00%,1,100.00%,1.00,00:00:00,0.00%,0,$0.00
Katsushika,Japan,1,100.00%,1,100.00%,1.00,00:00:00,0.00%,0,$0.00
Koganei,Japan,1,100.00%,1,100.00%,1.00,00:00:00,0.00%,0,$0.00
Meguro,Japan,1,100.00%,1,100.00%,1.00,00:00:00,0.00%,0,$0.00
Nerima,Japan,1,100.00%,1,0.00%,0.00,00:00:00,0.00%,0,$0.00
Kawasaki,Japan,1,100.00%,1,100.00%,1.00,00:00:00,0.00%,0,$0.00
Odawara,Japan,1,100.00%,1,100.00%,1.00,00:00:00,0.00%,0,$0.00
Iida,Japan,1,100.00%,1,100.00%,1.00,00:00:00,0.00%,0,$0.00
Hamamatsu,Japan,1,100.00%,1,100.00%,1.00,00:00:00,0.00%,0,$0.00
Shizuoka,Japan,1,100.00%,1,100.00%,1.00,00:00:00,0.00%,0,$0.00
Handa,Japan,1,100.00%,1,100.00%,1.00,00:00:00,0.00%,0,$0.00
Kyoto,Japan,1,100.00%,1,100.00%,1.00,00:00:00,0.00%,0,$0.00
Muko,Japan,1,100.00%,1,100.00%,1.00,00:00:00,0.00%,0,$0.00
Kurashiki,Japan,1,100.00%,1,100.00%,1.00,00:00:00,0.00%,0,$0.00
Niimi,Japan,1,100.00%,1,100.00%,1.00,00:00:00,0.00%,0,$0.00
Okayama,Japan,1,100.00%,1,100.00%,1.00,00:00:00,0.00%,0,$0.00
Ube,Japan,1,100.00%,1,0.00%,2.00,00:08:20,0.00%,0,$0.00
Kitakyushu,Japan,1,100.00%,1,100.00%,1.00,00:00:00,0.00%,0,$0.00
Omuta,Japan,1,100.00%,1,100.00%,1.00,00:00:00,0.00%,0,$0.00
Kashima,Japan,1,100.00%,1,100.00%,1.00,00:00:00,0.00%,0,$0.00
Oita,Japan,1,100.00%,1,100.00%,1.00,00:00:00,0.00%,0,$0.00
Pavlodar,Kazakhstan,1,100.00%,1,100.00%,1.00,00:00:00,0.00%,0,$0.00
Nairobi,Kenya,1,100.00%,1,100.00%,1.00,00:00:00,0.00%,0,$0.00
Cheonan-si,South Korea,1,100.00%,1,100.00%,1.00,00:00:00,0.00%,0,$0.00
Chungju-si,South Korea,1,100.00%,1,100.00%,1.00,00:00:00,0.00%,0,$0.00
Pohang-si,South Korea,1,100.00%,1,100.00%,1.00,00:00:00,0.00%,0,$0.00
Pyeongtaek-si,South Korea,1,100.00%,1,100.00%,1.00,00:00:00,0.00%,0,$0.00
Seongnam-si,South Korea,1,100.00%,1,100.00%,1.00,00:00:00,0.00%,0,$0.00
Suncheon-si,South Korea,1,100.00%,1,100.00%,1.00,00:00:00,0.00%,0,$0.00
Uiwang-si,South Korea,1,100.00%,1,100.00%,1.00,00:00:00,0.00%,0,$0.00
Ulsan,South Korea,1,100.00%,1,100.00%,1.00,00:00:00,0.00%,0,$0.00
Wonju-si,South Korea,1,100.00%,1,100.00%,1.00,00:00:00,0.00%,0,$0.00
Yangsan-si,South Korea,1,100.00%,1,100.00%,1.00,00:00:00,0.00%,0,$0.00
Yongin-si,South Korea,1,100.00%,1,100.00%,1.00,00:00:00,0.00%,0,$0.00
Kuwait City,Kuwait,1,100.00%,1,100.00%,1.00,00:00:00,0.00%,0,$0.00
Vilnius,Lithuania,1,100.00%,1,0.00%,2.00,00:00:00,0.00%,0,$0.00
Dudelange,Luxembourg,1,100.00%,1,100.00%,1.00,00:00:00,0.00%,0,$0.00
Luxembourg City,Luxembourg,1,100.00%,1,0.00%,2.00,00:00:00,0.00%,0,$0.00
Riga,Latvia,1,100.00%,1,0.00%,2.00,00:00:00,0.00%,0,$0.00
Macau,Macau,1,100.00%,1,100.00%,1.00,00:00:00,0.00%,0,$0.00
Tetouan,Morocco,1,100.00%,1,0.00%,2.00,00:00:00,0.00%,0,$0.00
Chihuahua,Mexico,1,100.00%,1,0.00%,4.00,00:01:21,0.00%,0,$0.00
Ciudad Juarez,Mexico,1,100.00%,1,100.00%,1.00,00:00:00,0.00%,0,$0.00
Torreon,Mexico,1,100.00%,1,100.00%,1.00,00:00:00,0.00%,0,$0.00
Morelia,Mexico,1,100.00%,1,100.00%,1.00,00:00:00,0.00%,0,$0.00
Cancun,Mexico,1,100.00%,1,0.00%,6.00,00:02:08,0.00%,0,$0.00
San Luis Potosi,Mexico,1,100.00%,1,100.00%,1.00,00:00:00,0.00%,0,$0.00
Villahermosa,Mexico,1,100.00%,1,100.00%,1.00,00:00:00,0.00%,0,$0.00
Ciudad Victoria,Mexico,1,100.00%,1,0.00%,13.00,00:00:00,0.00%,0,$0.00
Heroica Veracruz,Mexico,1,100.00%,1,100.00%,1.00,00:00:00,0.00%,0,$0.00
Zacatecas,Mexico,1,100.00%,1,100.00%,1.00,00:00:00,0.00%,0,$0.00
Skopje,Macedonia (FYROM),1,100.00%,1,0.00%,2.00,00:00:00,0.00%,0,$0.00
Ipoh,Malaysia,1,100.00%,1,100.00%,1.00,00:00:00,0.00%,0,$0.00
Kuantan,Malaysia,1,100.00%,1,0.00%,0.00,00:00:00,0.00%,0,$0.00
Petaling Jaya,Malaysia,1,100.00%,1,0.00%,2.00,00:00:00,0.00%,0,$0.00
Port Harcourt,Nigeria,1,100.00%,1,100.00%,1.00,00:00:00,0.00%,0,$0.00
Beilen,Netherlands,1,100.00%,1,100.00%,1.00,00:00:00,0.00%,0,$0.00
Diever,Netherlands,1,100.00%,1,100.00%,1.00,00:00:00,0.00%,0,$0.00
Roden,Netherlands,1,100.00%,1,100.00%,1.00,00:00:00,0.00%,0,$0.00
Drachten,Netherlands,1,100.00%,1,100.00%,1.00,00:00:00,0.00%,0,$0.00
Arnhem,Netherlands,1,100.00%,1,100.00%,1.00,00:00:00,0.00%,0,$0.00
Scherpenzeel,Netherlands,1,100.00%,1,100.00%,1.00,00:00:00,0.00%,0,$0.00
Leek,Netherlands,1,100.00%,1,100.00%,1.00,00:00:00,0.00%,0,$0.00
Rijen,Netherlands,1,100.00%,1,100.00%,1.00,00:00:00,0.00%,0,$0.00
Heemstede,Netherlands,1,100.00%,1,100.00%,1.00,00:00:00,0.00%,0,$0.00
Kampen,Netherlands,1,100.00%,1,0.00%,2.00,00:00:00,0.00%,0,$0.00
Utrecht,Netherlands,1,100.00%,1,0.00%,0.00,00:00:00,0.00%,0,$0.00
Terneuzen,Netherlands,1,100.00%,1,0.00%,2.00,00:00:00,0.00%,0,$0.00
Alphen aan den Rijn,Netherlands,1,100.00%,1,0.00%,2.00,00:00:01,0.00%,0,$0.00
Hellevoetsluis,Netherlands,1,100.00%,1,100.00%,1.00,00:00:00,0.00%,0,$0.00
Wellington,New Zealand,1,100.00%,1,100.00%,1.00,00:00:00,0.00%,0,$0.00
Christchurch,New Zealand,1,100.00%,1,100.00%,1.00,00:00:00,0.00%,0,$0.00
Muscat,Oman,1,100.00%,1,100.00%,1.00,00:00:00,0.00%,0,$0.00
Karachi,Pakistan,1,100.00%,1,100.00%,1.00,00:00:00,0.00%,0,$0.00
Lahore,Pakistan,1,100.00%,1,100.00%,1.00,00:00:00,0.00%,0,$0.00
Rawalpindi,Pakistan,1,100.00%,1,100.00%,1.00,00:00:00,0.00%,0,$0.00
Makati,Philippines,1,100.00%,1,0.00%,2.00,00:01:12,0.00%,0,$0.00
Manila,Philippines,1,100.00%,1,100.00%,1.00,00:00:00,0.00%,0,$0.00
Quezon City,Philippines,1,100.00%,1,0.00%,2.00,00:00:00,0.00%,0,$0.00
Pasig,Philippines,1,100.00%,1,100.00%,1.00,00:00:00,0.00%,0,$0.00
Bydgoszcz,Poland,1,100.00%,1,100.00%,1.00,00:00:00,0.00%,0,$0.00
Lodz,Poland,1,100.00%,1,100.00%,1.00,00:00:00,0.00%,0,$0.00
Lubartow,Poland,1,100.00%,1,100.00%,1.00,00:00:00,0.00%,0,$0.00
Gostynin,Poland,1,100.00%,1,100.00%,1.00,00:00:00,0.00%,0,$0.00
Bialystok,Poland,1,100.00%,1,0.00%,8.00,00:00:00,0.00%,0,$0.00
Katowice,Poland,1,100.00%,1,100.00%,1.00,00:00:00,0.00%,0,$0.00
Ruda Slaska,Poland,1,100.00%,1,100.00%,1.00,00:00:00,0.00%,0,$0.00
Olsztyn,Poland,1,100.00%,1,100.00%,1.00,00:00:00,0.00%,0,$0.00
Coimbra,Portugal,1,100.00%,1,0.00%,2.00,00:00:00,0.00%,0,$0.00
Lisbon,Portugal,1,100.00%,1,100.00%,1.00,00:00:00,0.00%,0,$0.00
Sintra,Portugal,1,100.00%,1,100.00%,1.00,00:00:00,0.00%,0,$0.00
Felgueiras,Portugal,1,100.00%,1,0.00%,2.00,00:00:00,0.00%,0,$0.00
Porto,Portugal,1,100.00%,1,100.00%,1.00,00:00:00,0.00%,0,$0.00
Doha,Qatar,1,100.00%,1,0.00%,2.00,00:00:01,0.00%,0,$0.00
Bucharest,Romania,1,100.00%,1,100.00%,1.00,00:00:00,0.00%,0,$0.00
Rubtsovsk,Russia,1,100.00%,1,100.00%,1.00,00:00:00,0.00%,0,$0.00
Arkhangelsk,Russia,1,0.00%,0,0.00%,2.00,00:02:01,0.00%,0,$0.00
Sterlitamak,Russia,1,100.00%,1,100.00%,1.00,00:00:00,0.00%,0,$0.00
Magnitogorsk,Russia,1,0.00%,0,100.00%,1.00,00:00:00,0.00%,0,$0.00
Angarsk,Russia,1,0.00%,0,100.00%,1.00,00:00:00,0.00%,0,$0.00
Irkutsk,Russia,1,0.00%,0,100.00%,1.00,00:00:00,0.00%,0,$0.00
Ivanovo,Russia,1,0.00%,0,100.00%,1.00,00:00:00,0.00%,0,$0.00
Novokuznetsk,Russia,1,0.00%,0,100.00%,1.00,00:00:00,0.00%,0,$0.00
Kirov,Russia,1,100.00%,1,100.00%,1.00,00:00:00,0.00%,0,$0.00
Kostroma,Russia,1,100.00%,1,100.00%,1.00,00:00:00,0.00%,0,$0.00
Krasnoyarsk,Russia,1,100.00%,1,100.00%,1.00,00:00:00,0.00%,0,$0.00
Lipetsk,Russia,1,0.00%,0,100.00%,1.00,00:00:00,0.00%,0,$0.00
Pushkino,Russia,1,100.00%,1,100.00%,1.00,00:00:00,0.00%,0,$0.00
Sergiev Posad,Russia,1,0.00%,0,100.00%,1.00,00:00:00,0.00%,0,$0.00
Murmansk,Russia,1,0.00%,0,100.00%,1.00,00:00:00,0.00%,0,$0.00
Orenburg,Russia,1,0.00%,0,100.00%,1.00,00:00:00,0.00%,0,$0.00
Vladivostok,Russia,1,0.00%,0,100.00%,1.00,00:00:00,0.00%,0,$0.00
Tolyatti,Russia,1,100.00%,1,100.00%,1.00,00:00:00,0.00%,0,$0.00
Vladikavkaz,Russia,1,100.00%,1,0.00%,2.00,00:05:00,0.00%,0,$0.00
Kazan,Russia,1,0.00%,0,100.00%,1.00,00:00:00,0.00%,0,$0.00
Tula,Russia,1,100.00%,1,100.00%,1.00,00:00:00,0.00%,0,$0.00
Ulyanovsk,Russia,1,100.00%,1,100.00%,1.00,00:00:00,0.00%,0,$0.00
Volgograd,Russia,1,0.00%,0,100.00%,1.00,00:00:00,0.00%,0,$0.00
Jeddah,Saudi Arabia,1,100.00%,1,0.00%,2.00,00:00:03,0.00%,0,$0.00
Dhahran,Saudi Arabia,1,100.00%,1,100.00%,1.00,00:00:00,0.00%,0,$0.00
Ljubljana,Slovenia,1,100.00%,1,0.00%,2.00,00:00:00,0.00%,0,$0.00
Maribor,Slovenia,1,100.00%,1,0.00%,2.00,00:00:00,0.00%,0,$0.00
Skelleftea,Sweden,1,100.00%,1,100.00%,1.00,00:00:00,0.00%,0,$0.00
Eskilstuna,Sweden,1,100.00%,1,0.00%,2.00,00:00:00,0.00%,0,$0.00
Jonkoping,Sweden,1,100.00%,1,100.00%,1.00,00:00:00,0.00%,0,$0.00
Vaxjo,Sweden,1,100.00%,1,100.00%,1.00,00:00:00,0.00%,0,$0.00
Hoor,Sweden,1,100.00%,1,100.00%,1.00,00:00:00,0.00%,0,$0.00
Landskrona,Sweden,1,100.00%,1,100.00%,1.00,00:00:00,0.00%,0,$0.00
Lund,Sweden,1,100.00%,1,0.00%,2.00,00:00:00,0.00%,0,$0.00
Borlange,Sweden,1,100.00%,1,0.00%,2.00,00:00:00,0.00%,0,$0.00
Bollnas,Sweden,1,100.00%,1,100.00%,1.00,00:00:00,0.00%,0,$0.00
Dushanbe,Tajikistan,1,100.00%,1,100.00%,1.00,00:00:00,0.00%,0,$0.00
Tunis,Tunisia,1,100.00%,1,100.00%,1.00,00:00:00,0.00%,0,$0.00
Diyarbakir,Turkey,1,100.00%,1,100.00%,1.00,00:00:00,0.00%,0,$0.00
Mersin,Turkey,1,100.00%,1,100.00%,1.00,00:00:00,0.00%,0,$0.00
Gebze,Turkey,1,100.00%,1,100.00%,1.00,00:00:00,0.00%,0,$0.00
Taoyuan District,Taiwan,1,100.00%,1,100.00%,1.00,00:00:00,0.00%,0,$0.00
Vinnytsia,Ukraine,1,100.00%,1,100.00%,1.00,00:00:00,0.00%,0,$0.00
Lviv,Ukraine,1,100.00%,1,100.00%,1.00,00:00:00,0.00%,0,$0.00
Odessa,Ukraine,1,0.00%,0,100.00%,1.00,00:00:00,0.00%,0,$0.00
Birmingham,United States,1,100.00%,1,100.00%,1.00,00:00:00,0.00%,0,$0.00
Foley,United States,1,100.00%,1,0.00%,0.00,00:00:00,0.00%,0,$0.00
Huntsville,United States,1,100.00%,1,100.00%,1.00,00:00:00,0.00%,0,$0.00
Oxford,United States,1,100.00%,1,0.00%,2.00,00:05:00,0.00%,0,$0.00
Tuscaloosa,United States,1,100.00%,1,100.00%,1.00,00:00:00,0.00%,0,$0.00
Bentonville,United States,1,100.00%,1,100.00%,1.00,00:00:00,0.00%,0,$0.00
Little Rock,United States,1,0.00%,0,0.00%,4.00,00:00:42,0.00%,0,$0.00
Sierra Vista,United States,1,100.00%,1,100.00%,1.00,00:00:00,0.00%,0,$0.00
Tucson,United States,1,100.00%,1,100.00%,1.00,00:00:00,0.00%,0,$0.00
Alameda,United States,1,100.00%,1,100.00%,1.00,00:00:00,0.00%,0,$0.00
Arcata,United States,1,100.00%,1,0.00%,3.00,00:00:22,0.00%,0,$0.00
Arroyo Grande,United States,1,100.00%,1,100.00%,1.00,00:00:00,0.00%,0,$0.00
Burlingame,United States,1,100.00%,1,100.00%,1.00,00:00:00,0.00%,0,$0.00
Camarillo,United States,1,100.00%,1,100.00%,1.00,00:00:00,0.00%,0,$0.00
Carson,United States,1,100.00%,1,0.00%,3.00,00:00:31,0.00%,0,$0.00
Chico,United States,1,100.00%,1,100.00%,1.00,00:00:00,0.00%,0,$0.00
Chula Vista,United States,1,100.00%,1,0.00%,2.00,00:00:00,0.00%,0,$0.00
Concord,United States,1,100.00%,1,100.00%,1.00,00:00:00,0.00%,0,$0.00
Cupertino,United States,1,100.00%,1,0.00%,12.00,00:04:38,0.00%,0,$0.00
Delano,United States,1,100.00%,1,100.00%,1.00,00:00:00,0.00%,0,$0.00
Dinuba,United States,1,100.00%,1,100.00%,1.00,00:00:00,0.00%,0,$0.00
El Cajon,United States,1,100.00%,1,0.00%,2.00,00:00:00,0.00%,0,$0.00
El Monte,United States,1,100.00%,1,0.00%,4.00,00:00:00,0.00%,0,$0.00
Folsom,United States,1,100.00%,1,0.00%,2.00,00:00:00,0.00%,0,$0.00
Fremont,United States,1,100.00%,1,100.00%,1.00,00:00:00,0.00%,0,$0.00
Fresno,United States,1,100.00%,1,0.00%,0.00,00:00:00,0.00%,0,$0.00
Gilroy,United States,1,100.00%,1,100.00%,1.00,00:00:00,0.00%,0,$0.00
Glendale,United States,1,100.00%,1,0.00%,6.00,00:00:04,0.00%,0,$0.00
Hawthorne,United States,1,100.00%,1,0.00%,2.00,00:00:00,0.00%,0,$0.00
Indio,United States,1,100.00%,1,0.00%,2.00,00:00:00,0.00%,0,$0.00
Inglewood,United States,1,100.00%,1,100.00%,1.00,00:00:00,0.00%,0,$0.00
La Puente,United States,1,100.00%,1,0.00%,2.00,00:00:00,0.00%,0,$0.00
Lakewood,United States,1,100.00%,1,100.00%,1.00,00:00:00,0.00%,0,$0.00
Lancaster,United States,1,100.00%,1,100.00%,1.00,00:00:00,0.00%,0,$0.00
Los Banos,United States,1,100.00%,1,0.00%,2.00,00:00:00,0.00%,0,$0.00
Manteca,United States,1,100.00%,1,100.00%,1.00,00:00:00,0.00%,0,$0.00
Martinez,United States,1,100.00%,1,100.00%,1.00,00:00:00,0.00%,0,$0.00
Montclair,United States,1,100.00%,1,0.00%,2.00,00:00:00,0.00%,0,$0.00
Moreno Valley,United States,1,100.00%,1,100.00%,1.00,00:00:00,0.00%,0,$0.00
Newport Beach,United States,1,100.00%,1,100.00%,1.00,00:00:00,0.00%,0,$0.00
Nipomo,United States,1,100.00%,1,100.00%,1.00,00:00:00,0.00%,0,$0.00
Oakley,United States,1,100.00%,1,100.00%,1.00,00:00:00,0.00%,0,$0.00
Olympic Valley,United States,1,100.00%,1,100.00%,1.00,00:00:00,0.00%,0,$0.00
Ontario,United States,1,100.00%,1,100.00%,1.00,00:00:00,0.00%,0,$0.00
Orange,United States,1,100.00%,1,100.00%,1.00,00:00:00,0.00%,0,$0.00
Oroville,United States,1,0.00%,0,0.00%,5.00,00:06:06,0.00%,0,$0.00
Pasadena,United States,1,100.00%,1,0.00%,2.00,00:00:50,0.00%,0,$0.00
Paso Robles,United States,1,100.00%,1,0.00%,4.00,00:00:42,0.00%,0,$0.00
Patterson,United States,1,100.00%,1,100.00%,1.00,00:00:00,0.00%,0,$0.00
Perris,United States,1,100.00%,1,100.00%,1.00,00:00:00,0.00%,0,$0.00
Pleasanton,United States,1,100.00%,1,100.00%,1.00,00:00:00,0.00%,0,$0.00
Poway,United States,1,100.00%,1,100.00%,1.00,00:00:00,0.00%,0,$0.00
Redwood City,United States,1,100.00%,1,0.00%,2.00,00:00:00,0.00%,0,$0.00
Reedley,United States,1,100.00%,1,100.00%,1.00,00:00:00,0.00%,0,$0.00
Rio Vista,United States,1,100.00%,1,0.00%,2.00,00:00:02,0.00%,0,$0.00
Riverside,United States,1,100.00%,1,100.00%,1.00,00:00:00,0.00%,0,$0.00
Roseville,United States,1,100.00%,1,100.00%,1.00,00:00:00,0.00%,0,$0.00
San Bernardino,United States,1,100.00%,1,100.00%,1.00,00:00:00,0.00%,0,$0.00
San Luis Obispo,United States,1,100.00%,1,0.00%,2.00,00:00:00,0.00%,0,$0.00
Santa Ana,United States,1,100.00%,1,100.00%,1.00,00:00:00,0.00%,0,$0.00
Temple City,United States,1,100.00%,1,100.00%,1.00,00:00:00,0.00%,0,$0.00
Turlock,United States,1,100.00%,1,100.00%,1.00,00:00:00,0.00%,0,$0.00
Tustin,United States,1,100.00%,1,100.00%,1.00,00:00:00,0.00%,0,$0.00
Walnut,United States,1,100.00%,1,0.00%,2.00,00:00:00,0.00%,0,$0.00
Arvada,United States,1,100.00%,1,0.00%,2.00,00:00:00,0.00%,0,$0.00
Boulder,United States,1,100.00%,1,100.00%,1.00,00:00:00,0.00%,0,$0.00
Breckenridge,United States,1,100.00%,1,0.00%,2.00,00:00:00,0.00%,0,$0.00
Fort Collins,United States,1,100.00%,1,0.00%,2.00,00:00:00,0.00%,0,$0.00
Littleton,United States,1,100.00%,1,100.00%,1.00,00:00:00,0.00%,0,$0.00
Longmont,United States,1,100.00%,1,100.00%,1.00,00:00:00,0.00%,0,$0.00
Westminster,United States,1,100.00%,1,0.00%,14.00,00:01:03,0.00%,0,$0.00
Wheat Ridge,United States,1,100.00%,1,100.00%,1.00,00:00:00,0.00%,0,$0.00
New Haven,United States,1,100.00%,1,100.00%,1.00,00:00:00,0.00%,0,$0.00
New London,United States,1,100.00%,1,100.00%,1.00,00:00:00,0.00%,0,$0.00
Norwich,United States,1,100.00%,1,100.00%,1.00,00:00:00,0.00%,0,$0.00
Blountstown,United States,1,100.00%,1,100.00%,1.00,00:00:00,0.00%,0,$0.00
Cocoa Beach,United States,1,100.00%,1,100.00%,1.00,00:00:00,0.00%,0,$0.00
Deerfield Beach,United States,1,100.00%,1,100.00%,1.00,00:00:00,0.00%,0,$0.00
Dunedin,United States,1,100.00%,1,0.00%,2.00,00:00:00,0.00%,0,$0.00
