City,Country,Sessions,% New Sessions,New Users,Bounce Rate,Pages / Session,Avg. Session Duration,Goal Conversion Rate,Goal Completions,Goal Value
Barcelona,Spain,5,80.00%,4,60.00%,1.40,00:00:00,0.00%,0,$0.00
Manchester,United Kingdom,5,100.00%,5,40.00%,2.40,00:00:06,0.00%,0,$0.00
Bengaluru,India,5,100.00%,5,60.00%,2.60,00:00:42,0.00%,0,$0.00
Yokohama,Japan,5,100.00%,5,100.00%,1.00,00:00:00,0.00%,0,$0.00
Mexico City,Mexico,5,100.00%,5,80.00%,1.20,00:00:00,0.00%,0,$0.00
Rostov-on-Don,Russia,5,60.00%,3,100.00%,1.00,00:00:00,0.00%,0,$0.00
Yekaterinburg,Russia,5,40.00%,2,100.00%,1.00,00:00:00,0.00%,0,$0.00
Singapore,Singapore,5,100.00%,5,80.00%,1.20,00:00:00,0.00%,0,$0.00
Bangkok,Thailand,5,100.00%,5,100.00%,1.00,00:00:00,0.00%,0,$0.00
Butte City,United States,5,20.00%,1,0.00%,5.40,00:04:56,0.00%,0,$0.00
Honolulu,United States,5,100.00%,5,60.00%,1.40,00:00:00,0.00%,0,$0.00
Charlotte,United States,5,100.00%,5,60.00%,1.40,00:00:18,0.00%,0,$0.00
Everett,United States,5,100.00%,5,0.00%,2.00,00:00:00,0.00%,0,$0.00
(not set),Brazil,4,100.00%,4,50.00%,1.50,<00:00:01,0.00%,0,$0.00
(not set),Italy,4,100.00%,4,100.00%,1.00,00:00:00,0.00%,0,$0.00
(not set),Kenya,4,100.00%,4,75.00%,1.25,00:02:30,0.00%,0,$0.00
Calgary,Canada,4,100.00%,4,25.00%,1.25,00:00:00,0.00%,0,$0.00
Dongguan,China,4,100.00%,4,75.00%,1.25,00:01:15,0.00%,0,$0.00
Lhasa,China,4,100.00%,4,100.00%,1.00,00:00:00,0.00%,0,$0.00
Xi'an,China,4,100.00%,4,100.00%,1.00,00:00:00,0.00%,0,$0.00
Berlin,Germany,4,75.00%,3,100.00%,1.00,00:00:00,0.00%,0,$0.00
Dusseldorf,Germany,4,100.00%,4,75.00%,1.25,00:02:30,0.00%,0,$0.00
Leeds,United Kingdom,4,100.00%,4,100.00%,1.00,00:00:00,0.00%,0,$0.00
Jakarta,Indonesia,4,75.00%,3,75.00%,2.75,00:00:56,0.00%,0,$0.00
Chandigarh,India,4,100.00%,4,100.00%,1.00,00:00:00,0.00%,0,$0.00
Tehran,Iran,4,100.00%,4,75.00%,1.75,00:00:16,0.00%,0,$0.00
Sapporo,Japan,4,100.00%,4,75.00%,0.75,00:00:00,0.00%,0,$0.00
Shibuya,Japan,4,100.00%,4,75.00%,0.75,00:00:00,0.00%,0,$0.00
Incheon,South Korea,4,100.00%,4,100.00%,1.00,00:00:00,0.00%,0,$0.00
Busan,South Korea,4,100.00%,4,100.00%,1.00,00:00:00,0.00%,0,$0.00
Daegu,South Korea,4,100.00%,4,100.00%,1.00,00:00:00,0.00%,0,$0.00
The Hague,Netherlands,4,100.00%,4,75.00%,1.25,00:00:00,0.00%,0,$0.00
Auckland,New Zealand,4,100.00%,4,25.00%,2.75,00:00:18,0.00%,0,$0.00
Novosibirsk,Russia,4,100.00%,4,75.00%,1.25,00:00:00,0.00%,0,$0.00
Phoenix,United States,4,100.00%,4,50.00%,2.00,00:00:04,0.00%,0,$0.00
Palo Alto,United States,4,100.00%,4,100.00%,1.00,00:00:00,0.00%,0,$0.00
Paradise,United States,4,0.00%,0,0.00%,17.50,00:09:28,0.00%,0,$0.00
Santa Clara,United States,4,100.00%,4,75.00%,1.25,00:01:40,0.00%,0,$0.00
Colorado Springs,United States,4,100.00%,4,75.00%,0.75,00:00:00,0.00%,0,$0.00
Fort Lauderdale,United States,4,100.00%,4,0.00%,2.00,00:00:00,0.00%,0,$0.00
New Orleans,United States,4,100.00%,4,100.00%,1.00,00:00:00,0.00%,0,$0.00
Baltimore,United States,4,75.00%,3,50.00%,1.00,00:00:00,0.00%,0,$0.00
Ann Arbor,United States,4,100.00%,4,100.00%,1.00,00:00:00,0.00%,0,$0.00
Fayetteville,United States,4,75.00%,3,50.00%,2.00,00:02:41,0.00%,0,$0.00
Parsippany-Troy Hills,United States,4,100.00%,4,100.00%,1.00,00:00:00,0.00%,0,$0.00
Cincinnati,United States,4,100.00%,4,75.00%,2.00,00:00:18,0.00%,0,$0.00
Columbia,United States,4,25.00%,1,25.00%,1.75,00:00:00,0.00%,0,$0.00
Huntsville,United States,4,50.00%,2,0.00%,8.25,00:03:12,0.00%,0,$0.00
Purcellville,United States,4,100.00%,4,100.00%,1.00,00:00:00,0.00%,0,$0.00
Ho Chi Minh City,Vietnam,4,100.00%,4,100.00%,1.00,00:00:00,0.00%,0,$0.00
Minato,Japan,4,100.00%,4,75.00%,1.25,00:00:25,0.00%,0,$0.00
Townsend,United States,4,75.00%,3,0.00%,10.00,00:09:44,0.00%,0,$0.00
(not set),Spain,3,100.00%,3,66.67%,1.33,00:00:00,0.00%,0,$0.00
